ID,Name,Age,Gender,City,Country,CreditCard,FullAddress,UserSignUpDate,UserLastPurchaseDate,UserStatus,UserTotalPurchases,UserSegment,UserLocation,UserSourceType,UserLastLoginDate,UserPurchaseFrequency,Product Name,Category,Subcategory,Price,Date_Purchase,Quantity,Rating,Comment
707,David Rose,150,F,South Robert,Antarctica (the territory South of 60 deg S),5551309266925624,"12297 Black Hills, North Joshuatown, AZ 95319",2022-09-03,2023-05-27,Churned,14,High Value,Johnport,Organic Search,2023-07-14,Yearly,FictionGuide,Books,Fiction,594,2020-12-01,1,4,Individual require challenge less firm cold space this.
708,Mrs. Martha Gonzalez,30,F,East Lesliechester,Jersey,2223165691690174,"71202 Stewart Port Apt. 360, South Donnaport, OH 45677",2022-10-27,2023-05-10,Churned,2,Occasional Shopper,North Charles,Organic Search,2023-06-09,Yearly,ComfortTable,Furniture,Table,504,2020-12-30,2,4,Benefit give charge message surface.
709,Cindy Wells,61,M,Port Carla,Norfolk Island,2705543753524811,"Unit 7552 Box 4265, DPO AP 37113",2023-08-25,2023-08-25,Active,7,Frequent Shopper,Port Mitchellstad,Organic Search,2023-08-25,Monthly,FreshBeverages,Grocery,Beverages,-25,2022-05-07,-3,1,Arm again suffer power.
710,Dustin Klein,150,M,Lake Valerie,Gambia,2278384393840441,"6303 Melton Junctions Apt. 967, Maryhaven, PW 53315",2022-11-18,2023-03-11,Churned,6,Frequent Shopper,Rileyville,Referral,2023-03-28,Yearly,UltraSpeaker,Electronics,Speaker,867,2022-06-06,10,0,Car air participant her project.
711,Kenneth Patton MD,150,M,Angelburgh,Luxembourg,5315447426278364,"96486 Stewart Creek, Gibbsport, MA 46702",2022-11-13,2022-11-30,Churned,11,High Value,Christinaborough,Paid Ads,2023-08-09,Yearly,FreshBeverages,Grocery,Beverages,471,2021-08-27,0,0,Address night yes stuff remain just.
712,Kevin House,150,M,North Emily,Liechtenstein,2707680697419951,"9559 Paul Court, Port Melissaview, WI 80851",2021-11-17,2023-07-24,Active,13,High Value,Edwardsfort,Referral,2023-08-21,Yearly,MegaLaptop,Electronics,Laptop,204,2021-04-06,6,4,Receive wife suffer step most.
713,Barry Hernandez,150,F,Port Katie,Madagascar,2575229919769360,"49833 Erika Passage Apt. 003, Lopezland, ID 76686",2022-11-06,2023-05-04,Churned,2,Occasional Shopper,West Joan,Referral,2023-06-22,Yearly,MegaLaptop,Electronics,Laptop,345,2023-07-28,-2,-1,Lead senior late executive.
714,Mrs. Michele Perkins,4,M,Mooreton,Faroe Islands,5456695161748517,"3916 Bridget Camp, Bentonborough, MT 52139",2021-12-18,2023-03-21,Churned,15,High Value,Stonefurt,Organic Search,2023-04-17,Yearly,ComfortTable,Furniture,Table,312,2022-01-17,-4,4,Others though physical learn home determine dinner.
715,Kathleen Gibbs,150,M,Kingburgh,Bhutan,2229099236138205,"PSC 2286, Box 5469, APO AP 82607",2021-11-11,2022-09-30,Churned,13,High Value,New Kathyborough,Paid Ads,2023-04-20,Yearly,ProPants,Clothing,Pants,752,2020-09-16,2,-1,Car trade window charge.
716,Sherry Buckley,-3,M,South Ashley,Papua New Guinea,2654297292778732,"99841 Woods Vista, Lake Donnaview, MS 04979",2023-02-09,2023-05-09,Churned,5,Occasional Shopper,Brookeburgh,Organic Search,2023-06-02,Yearly,SofaDeluxe,Furniture,Sofa,-6,2023-03-19,3,2,Hand never improve walk.
717,Mary Sheppard,86,M,Payneside,Brazil,2292203176550575,"98864 Vargas Lock, Oliviabury, DE 10220",2023-07-06,2023-07-25,Active,11,High Value,Angelamouth,Paid Ads,2023-08-02,Yearly,ChairPlus,Furniture,Chair,-67,2023-06-18,2,5,Send economy economic just others plan.
718,Laura Richardson,150,F,Erinchester,Canada,2229725737989775,"845 Stephen Camp, Mariahland, WY 42346",2023-05-15,2023-07-21,Active,5,Occasional Shopper,New Richardfort,Organic Search,2023-08-15,Yearly,ProJacket,Clothing,Jacket,-100,2021-12-04,0,3,Parent election every nice north operation example water.
719,George Barton,100,M,South Patricia,Tunisia,2720437163691909,"44040 Ann Tunnel Apt. 323, Myersport, AR 32960",2023-08-04,2023-08-25,Active,8,Frequent Shopper,West Terri,Referral,2023-08-25,Monthly,SofaDeluxe,Furniture,Sofa,958,2021-12-15,-3,5,Job hotel remember.
720,Amanda Phelps,150,M,Cynthiaberg,Mismatched Country,2594978162101450,"7035 Mason Forge Apt. 604, South Karen, MN 36773",2022-09-23,2022-12-20,Churned,3,Occasional Shopper,South Bonnie,Referral,2023-02-11,Yearly,,Grocery,Snacks,98,2020-10-23,10,2,She rise network tend police responsibility.
721,Hannah Lee,-2,F,Susanfurt,Cocos (Keeling) Islands,2702390908669379,"825 James Curve, Jonesberg, KS 82458",2023-06-07,2023-08-05,Active,1,Occasional Shopper,South Manuelmouth,Referral,2023-08-06,Monthly,LaptopPro,Electronics,Laptop,-98,2023-01-26,6,6,Western lot deal risk senior.
722,Lauren Allen,1,F,Kylehaven,Czech Republic,2714569871708019,"29649 Parker Isle Suite 123, West Kelliburgh, NY 19924",2023-06-17,2023-07-30,Active,11,High Value,Amberfort,Organic Search,2023-08-07,Monthly,SpeakerPro,Electronics,Speaker,-89,2022-04-24,7,2,Chance some consider.
723,Steven Perez,53,M,Lopezmouth,Gibraltar,5135935764173682,"797 Phillips Circle Apt. 334, Samuelfurt, OR 86848",2022-09-21,2023-03-23,Churned,6,Frequent Shopper,West Christopher,Paid Ads,2023-04-16,Yearly,PantsFits,Clothing,Pants,197,2021-05-25,-4,2,Picture wear discover stock establish.
724,James Macias,1,M,North Claudiahaven,Greenland,2720103668450387,"63562 Jennifer Villages, Barberfurt, WI 26434",2022-04-04,2022-11-19,Churned,3,Occasional Shopper,Valeriestad,Organic Search,2023-01-07,Yearly,Non-fictionTales,Books,Non-fiction,-54,2023-01-18,1,0,Take property election light.
725,Renee Cruz,150,M,Port Dana,Saint Kitts and Nevis,2585884103279010,"1600 Klein Mount, Thomasshire, WV 88303",2023-06-27,2023-07-11,Active,5,Occasional Shopper,Ryanfurt,Referral,2023-08-15,Yearly,ComfortSofa,Furniture,Sofa,-10,2022-01-05,1,2,Beat put not two meet fact establish write.
726,Jonathan Lane,55,F,Lake Johnborough,Kyrgyz Republic,2237583307210209,"3752 Diaz Ridge Suite 453, Lake Nicole, WA 99778",2022-03-27,2022-10-26,Churned,9,Frequent Shopper,New Amy,Referral,2022-11-28,Yearly,EducationalGuide,Books,Educational,-17,2020-10-22,10,6,Bad hard concern often.
727,Mr. Timothy Graham,150,M,New William,Seychelles,2270927370995709,"23315 Hall Viaduct Apt. 323, South Robert, OK 57201",2023-04-11,2023-06-28,Active,14,High Value,Martinfurt,Organic Search,2023-08-09,Yearly,ComfortChair,Furniture,Chair,965,2021-08-12,5,3,Sell character cause energy apply she.
728,Sean Conley,150,M,North Alicia,Saint Vincent and the Grenadines,2705756614822923,"9555 Thomas Course Suite 372, Ericstad, WV 74619",2022-07-24,2022-08-22,Churned,10,Frequent Shopper,Hurstburgh,Referral,2023-01-19,Rarely,ProPants,Clothing,Pants,365,2023-07-06,5,2,Scientist myself business performance three memory.
729,Jacob Fuller,4,M,Coxview,Montenegro,2530558849674058,"6123 Lynn Knolls Suite 730, Laceymouth, GA 55970",2022-01-04,2023-05-16,Churned,8,Frequent Shopper,East Robertside,Paid Ads,2023-08-10,Yearly,FreshBeverages,Grocery,Beverages,-69,2021-03-01,-5,0,Pm station article never.
730,Michele Clark,150,M,Marybury,Serbia,2296879626925149,"8697 Wright Island Apt. 129, Schmidtfort, NC 71661",2022-02-16,2022-07-05,Churned,11,High Value,South Jodishire,Organic Search,2022-09-11,Rarely,EducationalGuide,Books,Educational,-3,2023-05-16,-4,4,Whether magazine reduce throw statement.
731,Andrea Boyle,-5,M,Brownmouth,Slovenia,2250656430692618,"901 Heather Parkway Apt. 419, Crystalmouth, MA 14674",2022-11-10,2023-08-09,Active,5,Occasional Shopper,South Jeffreyside,Organic Search,2023-08-18,Monthly,SpeakerMaster,Electronics,Speaker,-82,2021-08-18,2,1,Per sit land few.
732,Kathryn Hamilton DVM,71,F,South Amberberg,Czech Republic,5218803193536129,"073 Marcus Lodge, Carlamouth, MN 25117",2021-10-12,2022-12-03,Churned,14,High Value,South Chad,Organic Search,2023-05-07,Yearly,FreshSnacks,Grocery,Snacks,233,2023-04-26,6,5,Main assume term.
733,Matthew Ortiz,80,F,North Ian,Malta,2253995047456331,"5806 Adams Manor Suite 176, Tommyview, NC 96144",2023-03-08,2023-08-14,Active,1,Occasional Shopper,Williamsfort,Organic Search,2023-08-18,Monthly,JacketFits,Clothing,Jacket,625,2020-10-30,-4,4,Several computer you such mention soldier material born.
734,John Hayden,5,F,Angelafort,Hungary,5487141004975606,"13948 Hayes Dam Suite 308, Davidmouth, DE 44075",2022-06-16,2022-09-07,Churned,4,Occasional Shopper,Andrewsville,Referral,2023-04-16,Yearly,PhoneMaster,Electronics,Phone,721,2020-09-20,2,4,Against leader blue.
735,Jeff Jacobs,150,F,East Angelaburgh,Canada,2252178842334463,"57918 Scott Glen Suite 164, Millershire, FM 77277",2021-09-23,2022-09-24,Churned,1,Occasional Shopper,New Kristintown,Paid Ads,2022-12-07,Yearly,UltraLaptop,Electronics,Laptop,519,2023-06-26,8,0,Third time describe seven poor hold clearly.
736,Rhonda Martin,32,M,South Dianetown,Congo,2294841280390533,"74059 Hall Meadows Apt. 015, North Glenn, ME 12824",2022-07-08,2023-08-11,Active,13,High Value,East Alicia,Referral,2023-08-21,Monthly,ComfortChair,Furniture,Chair,-59,2023-07-13,2,4,Whose career bank world himself window.
737,John Woodward,150,M,Port Dariusport,Austria,2707917471169596,"144 Wise Stream Apt. 565, West Jacob, VT 93255",2022-02-17,2022-12-14,Churned,11,High Value,Rogertown,Paid Ads,2023-08-06,Yearly,ComfortTable,Furniture,Table,692,2021-09-12,6,0,Pull raise land our.
738,Cynthia Martinez,5,M,East Eugenestad,French Polynesia,2244890701488377,"USCGC Brennan, FPO AA 83470",2022-04-09,2023-01-18,Churned,6,Frequent Shopper,Gordonport,Organic Search,2023-05-23,Yearly,SpeakerPro,Electronics,Speaker,292,2023-06-21,-3,1,Ball become happy party describe provide.
739,Caitlin Lopez,150,F,West Harold,Greenland,2298962026629699,"1766 Durham Prairie Apt. 023, North Christina, ME 20524",2023-02-07,2023-07-21,Active,5,Occasional Shopper,North Danielside,Organic Search,2023-08-14,Yearly,FictionGuide,Books,Fiction,52,2021-10-31,4,4,Develop technology measure Democrat beyond born.
740,Robert Robertson,150,M,Christophershire,Holy See (Vatican City State),5150494400612430,"503 Atkins Centers Suite 262, North Arthurstad, AR 86079",2022-10-30,2023-01-14,Churned,6,Frequent Shopper,Amymouth,Organic Search,2023-04-18,Yearly,,Electronics,Speaker,904,2021-03-12,1,1,Become consumer various condition.
741,Suzanne Mcpherson,35,F,West Brandonton,Mexico,2295459106923897,"55882 Mccoy Village, Middletonberg, HI 72561",2021-11-20,2022-04-11,Churned,3,Occasional Shopper,South Markville,Paid Ads,2023-03-26,Rarely,ComfortChair,Furniture,Chair,329,2022-09-17,-2,0,Together outside song tend plan adult such.
742,Sheila Price,-3,M,Aaronborough,New Caledonia,2271295577245784,"80155 Ryan Crest, Thomasmouth, PR 58797",2022-02-26,2023-01-29,Churned,15,High Value,Carrollmouth,Referral,2023-04-10,Yearly,EducationalGuide,Books,Educational,483,2023-05-03,-3,-1,Beat could cut create everyone meet article.
743,Jeremy Webb,16,M,Lindaberg,Martinique,2410553979709381,"7843 Sonia Haven, Port Jennifer, MI 43553",2022-04-16,2022-07-30,Churned,4,Occasional Shopper,Torresview,Organic Search,2022-11-17,Rarely,The Art of Educational,Books,Educational,-1,2022-06-20,-5,6,Heavy matter on.
744,Barry Garza,13,F,Gatesberg,Portugal,2720844976974747,"894 Erin Lakes, Johnnystad, SC 37726",2022-02-28,2022-03-31,Churned,8,Frequent Shopper,West Terry,Paid Ads,2023-07-26,Rarely,Non-fictionTales,Books,Non-fiction,-31,2021-09-02,-2,0,Evening meet scene turn close deal part.
745,Curtis Wilson,150,M,East Emily,Norway,5420172562556280,"28084 Barber Gardens, Sosaborough, NV 90197",2023-05-12,2023-06-29,Active,3,Occasional Shopper,Tammyshire,Paid Ads,2023-07-19,Yearly,ComfortSofa,Furniture,Sofa,879,2021-04-29,-3,6,Necessary send economy item individual.
746,Jonathan Villarreal,46,M,Johnfurt,Tokelau,2295352056295046,"00545 Harmon Curve Suite 398, Lake Diane, NY 34670",2023-07-31,2023-08-24,Active,9,Frequent Shopper,South Allenville,Referral,2023-08-24,Monthly,ShirtWear,Clothing,Shirt,-61,2021-04-03,-5,-1,Mission partner call everyone leg agree when.
747,Renee Hayes,-4,F,North Karenborough,Cocos (Keeling) Islands,5269689876498002,"PSC 2192, Box 6171, APO AA 09110",2022-01-07,2023-08-10,Active,1,Occasional Shopper,New Bridgetmouth,Referral,2023-08-18,Monthly,JacketWear,Clothing,Jacket,-17,2021-02-08,9,6,Miss itself ago smile face similar.
748,Elizabeth Buckley,85,M,Mitchellchester,Monaco,2701917216074602,"129 Susan Freeway Apt. 521, Cruzstad, SD 07203",2021-10-27,2023-05-14,Churned,11,High Value,South Eddiefort,Paid Ads,2023-08-14,Yearly,FreshVegetables,Grocery,Vegetables,-36,2021-03-19,3,2,Face treat represent issue whatever let.
749,Mary Estes,52,F,Derekland,Liechtenstein,2425083714617858,"0643 Wood Drive, Hunterburgh, ID 78791",2022-11-01,2023-08-21,Active,11,High Value,West Christopher,Paid Ads,2023-08-25,Monthly,ShirtFits,Clothing,Shirt,-85,2021-11-29,3,-1,Change finish specific color beat live.
750,Katherine Foster,1,F,West Theresastad,Sri Lanka,5379173165889533,"72654 Justin Alley, Teresafort, FM 31521",2023-01-12,2023-01-22,Churned,14,High Value,Richardburgh,Paid Ads,2023-06-07,Yearly,ShirtGuide,Clothing,Shirt,369,2022-09-20,-4,2,Model difference red black half over school his.
751,Sergio West,1,M,North Bradleybury,Mali,5440035515663717,"170 Bailey Squares, New Deborahmouth, NY 33057",2022-08-24,2022-12-29,Churned,1,Occasional Shopper,Thomasfurt,Referral,2023-04-12,Yearly,UltraSpeaker,Electronics,Speaker,-12,2023-08-01,-4,1,Tree position total wait now ground.
752,Hannah Ross,150,F,Murphyfurt,Denmark,2318609087145232,"374 Jeremy Crescent, Jacksonfort, WY 51617",2022-06-02,2023-07-01,Active,7,Frequent Shopper,New Kimberly,Referral,2023-08-12,Yearly,UltraLaptop,Electronics,Laptop,361,2022-06-29,10,4,Successful that true.
753,Jason Tucker,1,F,Maxwellburgh,Israel,2700154924596046,"001 Harrison Ford Suite 090, Normaport, WY 72796",2021-11-22,2022-11-24,Churned,15,High Value,Port Richardburgh,Referral,2023-01-18,Yearly,SofaDeluxe,Furniture,Sofa,303,2023-03-23,1,2,His paper south under.
754,Krista Warren,4,F,Port Franciscoton,Malta,2283171130864898,"041 Bentley Circles, Marymouth, AL 35670",2021-11-11,2023-05-16,Churned,5,Occasional Shopper,Moorehaven,Referral,2023-05-22,Yearly,LaptopPro,Electronics,Laptop,-62,2020-12-08,3,0,Level various somebody.
755,Rhonda Carey,150,M,New Haley,Palau,2292548400038163,"355 Williams Estates, Michelleville, ND 49960",2022-07-07,2022-10-19,Churned,3,Occasional Shopper,Harrisview,Referral,2022-11-10,Yearly,ChairDeluxe,Furniture,Chair,-78,2022-01-04,5,1,Phone back game relationship.
756,Robin Garcia,30,M,West Samantha,Djibouti,2435647487323569,"2641 Diane Court, Feliciaville, LA 82905",2022-10-10,2023-04-30,Churned,14,High Value,New Maryshire,Referral,2023-06-01,Yearly,FreshSnacks,Grocery,Snacks,125,2021-10-22,7,-1,North run perhaps green rate.
757,Christina Parker,-1,F,New Anthony,Sweden,2261353234670340,"575 Walsh Stravenue Apt. 058, Larafurt, CA 68853",2023-05-24,2023-07-08,Active,9,Frequent Shopper,West Rebeccaton,Paid Ads,2023-07-23,Yearly,SnacksBurst,Grocery,Snacks,-29,2022-01-20,2,3,Movie determine answer together.
758,Jason Campbell,-4,M,North Julia,Libyan Arab Jamahiriya,2294194583096666,"0545 King Greens Suite 473, West Robert, OR 57791",2022-12-06,2023-01-23,Churned,2,Occasional Shopper,New Tracey,Referral,2023-05-12,Yearly,SpeakerPro,Electronics,Speaker,-48,2023-01-06,-4,2,Outside will trouble.
759,Amy Lewis,41,F,West Joseside,Malawi,2701157208485736,"2010 Cannon Road, East Clarencemouth, NC 20206",2023-06-11,2023-06-14,Active,1,Occasional Shopper,North Anthonymouth,Organic Search,2023-08-19,Yearly,FreshBeverages,Grocery,Beverages,799,2022-06-02,-4,5,Goal market east knowledge base.
760,Mercedes Allen,150,M,Port Samanthaville,Mismatched Country,2248732544933761,"945 Murillo Fall Suite 908, West Laurenburgh, HI 07687",2022-11-30,2023-01-30,Churned,13,High Value,West Melanieshire,Organic Search,2023-03-01,Yearly,,Electronics,Laptop,368,2020-09-07,-4,1,Rule prepare college two year indeed.
761,Vanessa Jordan,52,M,Lake Jennifer,Lithuania,5215169065432554,"73505 Anderson Fords, East Richardtown, AL 13487",2021-09-08,2021-10-05,Churned,14,High Value,West Andrew,Referral,2023-04-25,Rarely,ComfortTable,Furniture,Table,943,2021-12-14,2,5,Travel account enjoy easy.
762,Corey Espinoza,-5,M,Mitchelltown,Guinea,2252729270220226,"515 Robinson Turnpike, East Barbara, MP 54196",2023-01-02,2023-08-24,Active,8,Frequent Shopper,North Micheleton,Referral,2023-08-25,Monthly,UltraLaptop,Electronics,Laptop,-92,2022-06-17,0,-1,Structure somebody maybe since within.
763,Cynthia Henry,33,M,Port Mark,Nauru,2264805498585503,"38801 Clinton Roads Apt. 152, South Georgestad, MP 36097",2021-11-07,2022-09-27,Churned,9,Frequent Shopper,Williamchester,Organic Search,2023-01-21,Yearly,TastyBeverages,Grocery,Beverages,-60,2022-04-01,-2,6,Forget woman election according class anything.
764,Donna Martin,150,F,Harrellborough,Guinea-Bissau,5146520541992880,"5576 Jennifer Keys Suite 831, Kimberlyport, CT 89414",2023-07-28,2023-08-18,Active,4,Occasional Shopper,Port Cody,Paid Ads,2023-08-18,Monthly,JacketWear,Clothing,Jacket,-41,2020-08-30,8,4,Young page budget before war individual foreign.
765,Kenneth Townsend,41,M,Hectorport,Saint Vincent and the Grenadines,5310995174820295,"043 Bailey Oval, Port Phillip, GU 25352",2021-09-25,2023-07-04,Active,7,Frequent Shopper,Fordville,Organic Search,2023-07-23,Yearly,VegetablesBurst,Grocery,Vegetables,167,2021-03-02,0,5,Hold nature style majority traditional college size.
766,Amy Greer,24,F,Bruceberg,Norway,2625208119051985,"5148 Hanson Valley Apt. 188, Carolynport, AK 15218",2023-03-18,2023-05-22,Churned,7,Frequent Shopper,Brandonmouth,Paid Ads,2023-07-30,Yearly,FreshSnacks,Grocery,Snacks,331,2020-11-14,-4,5,That expect team in night word sea.
767,April Murphy,96,M,South Jason,Bouvet Island (Bouvetoya),2717745966178329,"21289 Rodriguez Circle, Jeanetteshire, NV 70056",2022-07-05,2022-10-03,Churned,8,Frequent Shopper,Rojasside,Paid Ads,2022-11-30,Yearly,ComfortChair,Furniture,Chair,-48,2023-03-03,-1,2,Join court rate study single friend however.
768,Colleen Lee,150,M,Williamsmouth,Bouvet Island (Bouvetoya),2436131732318749,"PSC 0253, Box 5959, APO AE 64219",2021-09-15,2023-03-10,Churned,5,Occasional Shopper,New Michael,Paid Ads,2023-08-01,Yearly,SpeakerMaster,Electronics,Speaker,-48,2023-05-03,3,0,And continue enjoy similar whether agent pay.
769,Sarah Bray,150,M,Nicholsmouth,Ethiopia,5504009981800569,"88574 Porter Island Apt. 304, East Kathy, AR 97464",2023-02-09,2023-03-08,Churned,10,Frequent Shopper,Port Robert,Paid Ads,2023-07-29,Yearly,BeveragesBurst,Grocery,Beverages,339,2023-04-08,-2,0,Production environment outside capital condition.
770,Angela Quinn,28,M,West Philiphaven,Uruguay,5249375854805005,"USNS Clark, FPO AA 18948",2023-03-05,2023-08-08,Active,9,Frequent Shopper,North Jamesburgh,Paid Ads,2023-08-22,Monthly,LaptopMaster,Electronics,Laptop,180,2021-12-04,1,0,Meet write human heart manage near.
771,Suzanne Frazier,150,M,Sarahhaven,Algeria,2353161602772666,"97668 Cathy Haven Suite 146, Lake Nicole, CA 44957",2021-10-22,2022-06-06,Churned,15,High Value,Monroemouth,Paid Ads,2022-11-11,Rarely,PantsWear,Clothing,Pants,-53,2020-12-05,6,4,Time wall require time assume or ever.
772,Jessica Buchanan,67,M,Ericstad,Iraq,2265488213719647,"974 Hopkins Trail Suite 883, West Pamela, MA 41649",2023-01-11,2023-03-24,Churned,9,Frequent Shopper,Lake Dannystad,Paid Ads,2023-06-19,Yearly,ComfortSofa,Furniture,Sofa,22,2023-02-09,1,2,Author individual close explain leader painting partner section.
773,Kelly Mora,150,M,New Thomasfort,Micronesia,5466761192129883,"2975 Alan Via, Christinaside, MS 60980",2023-08-21,2023-08-21,Active,5,Occasional Shopper,South Anthony,Referral,2023-08-24,Monthly,FreshSnacks,Grocery,Snacks,941,2021-09-25,1,0,Traditional left strategy four despite sense all.
774,Natalie Flores,3,M,Lake Nicolefort,San Marino,5551023051526584,"508 Smith Fords, Lake Antonio, NH 99581",2022-06-03,2022-12-08,Churned,15,High Value,North Shelby,Paid Ads,2023-08-04,Yearly,FreshVegetables,Grocery,Vegetables,-4,2021-12-06,6,1,Either deal sound hand.
775,Wendy Flynn,-3,M,Parkerport,Mali,2239082940603951,"188 Murphy Drives, Port Jennifer, ME 97994",2022-02-01,2022-10-27,Churned,10,Frequent Shopper,Bensonmouth,Paid Ads,2023-04-29,Yearly,TastyBeverages,Grocery,Beverages,347,2022-10-20,0,6,Land move can source different.
776,Daniel Mitchell,-3,M,North Joshua,Luxembourg,2254838549339994,"0495 Courtney Island, Jacquelinechester, IL 70949",2023-07-04,2023-07-19,Active,14,High Value,Summersmouth,Paid Ads,2023-08-05,Yearly,JacketWear,Clothing,Jacket,37,2023-06-24,8,1,Structure recent argue very PM over.
777,Charles Flores,150,M,East Catherine,India,2339213548722179,"6595 Howard Crescent, Joshuamouth, OK 90175",2022-07-19,2022-08-17,Churned,14,High Value,Fischerchester,Organic Search,2023-02-13,Rarely,MegaLaptop,Electronics,Laptop,-19,2020-11-10,2,5,Skin born level girl sense them common.
778,April Duran,150,M,New Carlosberg,Mozambique,2243137770421801,"790 Lori Mill, Jonesburgh, DE 20277",2022-10-31,2022-12-20,Churned,10,Frequent Shopper,Davidsontown,Paid Ads,2023-07-26,Yearly,FreshBeverages,Grocery,Beverages,-61,2023-01-28,5,1,Administration not similar food leg feel.
779,Julie Washington,150,M,Amberport,Micronesia,2575071524101096,"8854 Ronald Prairie, Hamiltonshire, CA 93145",2022-07-15,2022-07-21,Churned,3,Occasional Shopper,West Seanport,Organic Search,2023-04-19,Rarely,BeveragesBurst,Grocery,Beverages,-74,2022-07-16,-5,5,Wish sing I bed direction can maintain.
780,Christina Wright,150,M,West Richard,Israel,2706500213761242,"507 Erica Plaza Apt. 050, Lake Erica, LA 14580",2022-06-23,2023-01-11,Churned,10,Frequent Shopper,Port Amy,Paid Ads,2023-02-27,Yearly,,Furniture,Table,-53,2022-03-08,-4,0,Partner learn majority senior finish.
781,Luke Reyes,3,M,New Roseburgh,Australia,2282821365913387,"05966 Barton Springs, Cameronfort, NV 69159",2022-10-04,2022-12-20,Churned,15,High Value,North Lindaport,Paid Ads,2023-01-30,Yearly,FreshBeverages,Grocery,Beverages,-39,2023-03-16,-1,4,Spring listen investment control west deep parent.
782,Kenneth Jones,150,M,Warrenville,South Africa,2292093130253295,"4375 Carl Plaza, North Wendy, MD 10716",2023-02-14,2023-07-14,Active,14,High Value,Amandashire,Paid Ads,2023-08-08,Yearly,MegaLaptop,Electronics,Laptop,-95,2021-07-05,5,0,Material easy us upon.
783,Kelly Martinez,150,F,Amandatown,South Africa,2447440569450062,"49076 David Expressway Suite 174, East Sara, AK 58259",2023-01-02,2023-08-06,Active,1,Occasional Shopper,Grantport,Paid Ads,2023-08-24,Monthly,SofaDeluxe,Furniture,Sofa,-22,2020-09-24,1,1,Get market treatment husband tend keep may.
784,Breanna Reed,150,M,Chadchester,Peru,2254677415091846,"266 Lawson Station Suite 526, Curtisborough, KY 41613",2023-05-26,2023-07-06,Active,7,Frequent Shopper,Reyeschester,Organic Search,2023-08-22,Yearly,LaptopMaster,Electronics,Laptop,111,2021-06-11,2,0,Task benefit happen worker hospital.
785,Brittany Garcia,100,F,Lake Ericaberg,Bermuda,5430007819649884,"6669 Anderson Key, Harrisonshire, MD 93225",2023-07-28,2023-08-02,Active,2,Occasional Shopper,Port Bryan,Referral,2023-08-02,Monthly,ShirtFits,Clothing,Shirt,150,2022-08-28,9,5,Artist lead executive just past worker.
786,Justin Ayala,77,M,Kelleystad,French Guiana,2254855560487569,"Unit 4167 Box 1693, DPO AE 24845",2023-07-06,2023-08-18,Active,13,High Value,Hillport,Organic Search,2023-08-25,Monthly,FreshSnacks,Grocery,Snacks,-21,2021-01-06,2,3,Blood attorney possible meet price reduce.
787,Natalie Bailey,17,M,Lake Matthew,Armenia,2233142780275256,"421 Spencer Village, North Christopher, MI 82557",2021-12-11,2023-08-10,Active,13,High Value,West Raymond,Paid Ads,2023-08-20,Monthly,TastySnacks,Grocery,Snacks,513,2022-03-23,6,3,Dinner draw available resource.
788,Katie Craig,-2,M,New Michaelfurt,Romania,2249520615280082,"41990 Dustin Road Apt. 915, Port Felicia, UT 97332",2022-01-28,2023-04-14,Churned,12,High Value,Port Samuelside,Referral,2023-06-03,Yearly,BeveragesBurst,Grocery,Beverages,-52,2022-05-22,6,3,Or rise opportunity certainly group just run.
789,Emma Davis,61,F,South Barbara,Tunisia,2311582837263323,"375 Austin Hills Apt. 325, Nguyenmouth, OH 82779",2023-05-19,2023-07-17,Active,2,Occasional Shopper,Freemanmouth,Organic Search,2023-08-25,Yearly,VegetablesBurst,Grocery,Vegetables,-86,2022-11-06,-1,6,From everything raise away.
790,Stephanie Benton,13,M,East Brian,Sudan,2557352893119477,"525 Carlos Crescent Apt. 922, North Jessicaton, GA 51245",2022-01-22,2023-04-02,Churned,9,Frequent Shopper,Hallborough,Paid Ads,2023-08-02,Yearly,TastyVegetables,Grocery,Vegetables,305,2022-01-20,-3,5,Relationship feel community discuss strong rock travel training.
791,Cynthia Hernandez,98,F,Williamstown,Tunisia,2279866200065328,"525 Jennifer Trafficway Apt. 041, North Robert, AS 32091",2021-12-10,2022-12-11,Churned,1,Occasional Shopper,Mcclurestad,Organic Search,2023-01-14,Yearly,Non-fictionTales,Books,Non-fiction,595,2023-08-25,-1,-1,Change through hundred Republican worry heart hot.
792,Laura Padilla,150,F,Nixontown,Bermuda,2289379269802324,"91803 Valerie Burg Apt. 145, New Janet, OH 58105",2023-01-31,2023-07-09,Active,9,Frequent Shopper,North Samanthatown,Referral,2023-07-11,Yearly,ProJacket,Clothing,Jacket,-59,2022-12-17,-1,4,Talk music source behind Democrat seven describe.
793,Spencer Mullins,24,M,Donaldport,Libyan Arab Jamahiriya,2596779089004621,"447 Luna Station, Tracyhaven, AL 17820",2022-08-12,2023-05-17,Churned,13,High Value,Kellychester,Referral,2023-06-30,Yearly,EducationalGuide,Books,Educational,-71,2022-01-16,9,0,Art trade doctor more baby believe condition.
794,Michael Hood,65,F,Port Martin,Poland,5483787574308737,"5350 Neil Corners, West Jeffrey, VT 80415",2022-11-26,2023-03-21,Churned,5,Occasional Shopper,Jennifershire,Referral,2023-06-01,Yearly,SnacksBurst,Grocery,Snacks,-50,2020-09-30,-5,-1,System that artist off much task wear choose.
